ad_type_name,area,price,address,property_legal_document,rooms,toilets
Nhà ở,73,37000000000,Hà Nội,đã có sổ,4.0,7.0
Căn hộ/Chung cư,121,6900000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,77,6500000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,75,10000000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,81,248000000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,79,17000000000,Hà Nội,đã có sổ,5.0,4.0
Nhà ở,75,4500000,Hà Nội,đã có sổ,2.0,1.0
Căn hộ/Chung cư,79,6500000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,89,7000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,76,6550000000,Hà Nội,đã có sổ,6.0,6.0
Nhà ở,81,11000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,79,26500000000,Hà Nội,đã có sổ,6.0,4.0
Căn hộ/Chung cư,129,15000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,76,12500000000,Hà Nội,đã có sổ,10.0,7.0
Nhà ở,74,7600000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,75,32000000,Hà Nội,chưa rõ,3.0,2.0
Nhà ở,75,5500000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,77,22000000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,73,12000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,76,9000000,Hà Nội,đã có sổ,3.0,2.0
Căn hộ/Chung cư,86,3690000000,Hà Nội,chưa rõ,3.0,2.0
Nhà ở,79,29800000000,Hà Nội,đã có sổ,6.0,7.0
Nhà ở,75,4200000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,80,5250000000,Hà Nội,đã có sổ,2.0,3.0
Nhà ở,84,5600000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,86,9800000000,Hà Nội,đã có sổ,9.0,7.0
Nhà ở,77,7800000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,77,7800000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,129,5300000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,86,8800000000,Hà Nội,đã có sổ,4.0,3.0
